[0, 1, 1, 0, 1, 2]	3.34	4.0
[2, 0, 0, 1, 0, 2]	2.89	4.0
[1, 2, 0, 3, 0, 0]	2.94	4.0
[0, 0, 0, 1, 1, 4]	4.68	5.0
[1, 0, 2, 0, 3, 0]	3.44	4.0
[1, 0, 0, 0, 1, 0]	1.31	2.0
[0, 1, 1, 1, 1, 2]	3.84	5.0
[0, 1, 2, 1, 2, 0]	3.43	4.0
[1, 1, 1, 0, 1, 2]	3.48	4.0
[2, 0, 0, 2, 0, 1]	2.64	3.0
[0, 1, 1, 2, 0, 1]	3.01	4.0
[4, 0, 0, 1, 0, 0]	1.69	2.0
[0, 0, 0, 1, 2, 1]	3.07	4.0
[1, 0, 0, 0, 0, 2]	2.24	3.0
[2, 1, 0, 1, 2, 0]	2.94	4.0
[2, 0, 0, 0, 3, 1]	3.49	4.0
[0, 0, 3, 3, 0, 0]	3.47	4.0
[0, 0, 0, 1, 1, 2]	3.2	4.0
[1, 0, 1, 2, 1, 0]	2.82	4.0
[1, 1, 0, 1, 3, 0]	3.42	4.0
[0, 0, 2, 0, 0, 4]	4.35	5.0
[3, 0, 0, 1, 0, 0]	1.54	2.0
[1, 1, 0, 1, 1, 0]	2.14	3.0
[0, 1, 3, 0, 2, 0]	3.37	4.0
[1, 4, 1, 0, 0, 0]	2.44	3.0
[1, 1, 0, 1, 1, 1]	2.87	4.0
[2, 1, 0, 2, 0, 1]	2.92	4.0
[0, 1, 1, 0, 1, 1]	2.59	3.0
[2, 2, 0, 0, 0, 1]	2.19	3.0
[1, 0, 0, 1, 0, 3]	3.46	4.0
[1, 0, 2, 0, 0, 1]	2.28	3.0
[0, 0, 1, 1, 1, 1]	2.84	4.0
[3, 0, 0, 1, 1, 1]	2.9	4.0
[0, 1, 2, 0, 0, 1]	2.4	3.0
[0, 3, 2, 0, 1, 0]	2.95	4.0
[0, 1, 0, 3, 1, 0]	3.06	4.0
[0, 0, 1, 0, 0, 0]	1.0	1.0
[3, 0, 1, 1, 0, 0]	1.98	3.0
[0, 0, 0, 6, 0, 0]	3.85	4.0
[2, 2, 0, 0, 0, 2]	2.95	4.0
[0, 1, 2, 0, 1, 1]	3.0	4.0
[2, 1, 0, 2, 0, 0]	2.23	3.0
[0, 1, 1, 1, 1, 1]	3.08	4.0
[0, 0, 1, 2, 2, 0]	3.29	4.0
[2, 0, 0, 0, 2, 1]	2.89	4.0
[1, 1, 0, 1, 1, 2]	3.58	4.0
[0, 2, 1, 1, 1, 0]	2.68	4.0
[1, 3, 0, 1, 0, 1]	2.85	4.0
[0, 0, 0, 3, 2, 1]	4.11	5.0
[2, 0, 0, 2, 2, 0]	3.17	4.0
[0, 1, 0, 1, 1, 2]	3.44	4.0
[1, 0, 0, 4, 0, 0]	2.92	4.0
[0, 2, 0, 0, 1, 2]	3.25	4.0
[0, 0, 2, 1, 1, 0]	2.54	3.0
[2, 0, 0, 0, 1, 2]	2.99	4.0
[0, 0, 3, 1, 2, 0]	3.57	4.0
[2, 0, 0, 1, 3, 0]	3.31	4.0
[0, 2, 1, 0, 1, 0]	2.17	3.0
[0, 0, 1, 2, 1, 0]	2.66	3.0
[2, 1, 1, 0, 1, 0]	2.18	3.0
[0, 0, 0, 0, 1, 5]	4.93	6.0
[0, 1, 0, 1, 4, 0]	3.94	5.0
[0, 0, 0, 0, 2, 4]	4.81	5.0
[1, 2, 0, 0, 0, 3]	3.53	4.0
[1, 2, 1, 0, 0, 2]	3.16	4.0
[2, 0, 0, 0, 0, 1]	1.66	2.0
[1, 2, 0, 1, 2, 0]	3.07	4.0
[1, 1, 3, 0, 0, 0]	2.34	3.0
[1, 1, 2, 0, 1, 1]	3.13	4.0
[3, 0, 0, 0, 3, 0]	2.97	4.0
[2, 0, 0, 1, 1, 2]	3.47	4.0
[0, 0, 1, 1, 2, 0]	2.78	3.0
[0, 0, 3, 0, 0, 0]	1.86	2.0
[1, 2, 0, 0, 2, 1]	3.29	4.0
[2, 1, 1, 0, 0, 1]	2.29	3.0
[0, 0, 0, 2, 0, 2]	3.08	4.0
[0, 3, 0, 3, 0, 0]	3.08	4.0
[0, 0, 1, 1, 0, 3]	3.72	4.0
[3, 0, 2, 0, 0, 1]	2.57	3.0
[1, 2, 0, 0, 0, 2]	2.8	3.0
[0, 0, 0, 3, 1, 1]	3.47	4.0
